Resume,Price,Location,Bedrooms,Bathrooms,Area,Link,Contact,Listing Time
Brand New 1bhk with PvtEntrance+Bathroom in Riyad.,"26,000 AED/year","Madinat Al Riyad, Abu Dhabi",1,1,"1,200 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-madinat-al-riyad-13553083.html,tel:+971582240253,Listed 6 days ago
For Family II 2 BR Close to Metro II Specious Apartment,"95,000 AED/year","Contemporary Cluster, Discovery Gardens, Dubai",2,3,"1,440 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-discovery-gardens-contemporary-cluster-13605487.html,tel:+971543098649,Listed 1 hour ago
Spacious Layout | Equipped Kitchen | Last Unit,"165,000 AED/year","Meera, Al Habtoor City, Business Bay, Dubai",2,3,"1,376 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-al-habtoor-city-meera-13458486.html,tel:+971565075694,Listed 17 days ago
Vacant Now | Fully Furnished | Versace Furnished,"280,000 AED/year","Palazzo Versace, Culture Village, Dubai",2,3,"1,685 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-culture-village-palazzo-versace-13485291.html,tel:+971585060113,Listed 14 days ago
Fully Furnihsed | All Bills Included | Monthly 12k,"125,000 AED/year","Dubai Silicon Oasis, Dubai",2,2,"1,230 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-silicon-oasis-13580008.html,tel:+971565061237,Listed 2 days ago
Deluxe Sky Studio Hotel Apartment,"102,525 AED/year","Millennium Place Barsha Heights Hotel, Barsha Heights (Tecom), Dubai",studio,1,320 sqft,https://www.propertyfinder.ae/en/plp/rent/hotel-hotel-apartment-for-rent-dubai-barsha-heights-tecom-millennium-place-barsha-heights-hotel-10907999.html,tel:+971586060841,Listed more than 6 months ago
PREMIUM TWO - BEDROOM | PRIVATE POOL |SMART HOME,"125,000 AED/year","Binghatti House, Jumeirah Village Circle, Dubai",2,2,"1,105 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-house-13420301.html,tel:+971545843230,Listed 22 days ago
Skyline Living | Marina View | Vacant,"265,000 AED/year","No.9, Dubai Marina, Dubai",3,4,"1,766 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-no-9-13310215.html,tel:+971565026364,Listed 1 month ago
Exclusive 3+1 TH Noya 1 for Rent – Perfect for Families,"165,000 AED/year","Noya Viva, Noya, Yas Island, Abu Dhabi",3,2,"18,100 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-yas-island-noya-noya-viva-13513579.html,tel:+97142815008,Listed 10 days ago
3 Bedroom Townhouse | Spacious Well Maintained,"185,000 AED/year","Cherrywoods, Dubai Land, Dubai",3,4,"2,295 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-cherrywoods-13318856.html,tel:+971502580470,Listed 1 month ago
Stunning | Modern 1BR Apt. | Exclusive Living,"79,000 AED/year","Binghatti Onyx, Jumeirah Village Circle, Dubai",1,2,692 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-onyx-13321007.html,tel:+971565026364,Listed 1 month ago
Well Maintained | Bright | Best Price,"220,000 AED/year","Arno A, Arno, The Views, Dubai",3,3,"2,007 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-the-views-arno-arno-a-12797226.html,tel:+971506372962,Listed 3 months ago
DIFC View Studio-Furnished for RENT- Vacant!,"134,999 AED/year","Kempinski BLVD, Downtown Dubai, Dubai",studio,1,556 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-kempinski-blvd-13513466.html,tel:+971565031664,Listed 10 days ago
1 Bedroom | Brand New | High Floor | Hartland View,"114,999 AED/year","Sobha Creek Vistas Grande, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,1,855 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-mohammed-bin-rashid-city-sobha-hartland-sobha-creek-vistas-grande-13356117.html,tel:+971507656919,Listed 1 month ago
Fully Furnished | Elegant Studio | Ready to Move,"54,499 AED/year","Pantheon Elysee, Jumeirah Village Circle, Dubai",studio,1,423 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-pantheon-elysee-13374468.html,tel:+971551078626,Listed 28 days ago
Sea View | Beach Access | Bills Included,"280,000 AED/year","Roda Amwaj Suites, Amwaj, Jumeirah Beach Residence, Dubai",3,5,"2,153 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-amwaj-roda-amwaj-suites-13262687.html,tel:+971565072948,Listed 1 month ago
Move-In Ready | Renovated | Fully Equipped Kitchen,"85,000 AED/year","Rukan 3, Dubai Land, Dubai",1,2,644 sqft,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-land-rukan-3-13580442.html,tel:+971549944931,Listed 2 days ago
1 BHK 1CHQ 134K -4 CHQ 136K *Subletting Permitted,"132,999 AED/year","Shaiba Tower 1, Al Shaiba Towers, Barsha Heights (Tecom), Dubai",1,1,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-barsha-heights-tecom-al-shaiba-towers-shaiba-tower-1-12753861.html,tel:+971565049328,Listed 3 months ago
Fabolous  FULLY FURNISHED  ALL FACILITIES NEW,"119,999 AED/year","Jumeirah Garden City, Al Satwa, Dubai",1,2,886 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-satwa-jumeirah-garden-city-13429429.html,tel:+971565049328,Listed 21 days ago
5BDR+Maid Room I Semi Independent Villa,"340,000 AED/year","Al Barsha 1 Villas, Al Barsha 1, Al Barsha, Dubai",5,7,"4,806 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-al-barsha-al-barsha-1-al-barsha-1-villas-13502030.html,tel:+971569645555,Listed 11 days ago
Spacious 3BR | Cupboards | Huge Hall | Central AC,"80,000 AED/year","Al Ghaith Tower, Hamdan Street, Abu Dhabi",3,3,"2,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-hamdan-street-al-ghaith-tower-12057806.html,tel:+97142815111,Listed 6 months ago
4BR + Maidsroom + Balcony + Electra Street,"105,000 AED/year","Tessco Building, Electra Street, Abu Dhabi",4,4,"2,200 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-electra-street-tessco-building-11572181.html,tel:+97142815111,Listed more than 6 months ago
Partial Canal View | Fully Furnished | Upcoming,"95,000 AED/year","Waters Edge, Yas Island, Abu Dhabi",1,1,685 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-yas-island-waters-edge-13419253.html,tel:+971562193142,Listed 22 days ago
Upgraded | Large Layout | Available,"125,000 AED/year","Murjan 2, Murjan, Jumeirah Beach Residence, Dubai",1,2,"1,107 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-murjan-murjan-2-13277895.html,tel:+971565227098,Listed 1 month ago
Chiller Free I Family Community I Vacant,"85,000 AED/year","Durar 1, Dubai Land Residence Complex, Dubai",2,2,"1,148 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-land-residence-complex-durar-1-13361801.html,tel:+971505975503,Listed 29 days ago
Spacious I Bight I Fully Furnished,"48,000 AED/year","Binghatti Stars, Dubai Silicon Oasis, Dubai",studio,1,500 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-silicon-oasis-binghatti-stars-13517389.html,tel:+971508524616,Listed 10 days ago
2BR Apt with Amazing Views!,"140,000 AED/year","Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,141 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-harbour-gate-harbour-gate-tower-1-13526263.html,tel:+971569098629,Listed 9 days ago
Spacious 2BHK for family in Ewan Residence,"69,999 AED/year","Ewan Residence 1, Ewan Residences, Dubai Investment Park (DIP), Dubai",2,2,"1,100 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-investment-park-dip-ewan-residences-ewan-residence-1-13230398.html,tel:+971557363733,Listed 1 month ago
"Premium brand new villa 5bhk maidroom : gym,pool,kids area : 2 parkking","199,999 AED/year","180 Degrees Villas, Liwan, Dubai Land, Dubai",5,5,"2,701 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-land-liwan-180-degrees-villas-13380163.html,tel:+971568340870,Listed 27 days ago
Huge Apartment | Lake Views | Vacant,"240,000 AED/year","Arno, The Views, Dubai",3,2,"2,007 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-the-views-arno-13005461.html,tel:+971542794683,Listed 2 months ago
Hot Deal | Spacious 5BR+Maids | Amazing Layout,"179,999 AED/year","Al Mariah Community, Al Raha Gardens, Abu Dhabi",5,7,"5,290 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-al-raha-gardens-al-mariah-community-13344321.html,tel:+971566664123,Listed 1 month ago
Close to Pool and Park | Type C | Ready to move,"160,000 AED/year","Casa Dora, Serena, Dubai Land, Dubai",3,4,"2,005 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-casa-dora-13308016.html,tel:+971509373048,Listed 1 month ago
2BR | Duplex | Maidsroom | Parking | Huge,"110,000 AED/year","Al Ghaith Tower, Hamdan Street, Abu Dhabi",2,4,"1,500 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-hamdan-street-al-ghaith-tower-12161438.html,tel:+97142815110,Listed 6 months ago
HUGE 1 BHK | BALCONY | PARKING | AL QUOZ 3,"65,000 AED/year","Al Quoz, Dubai",1,2,"1,082 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-quoz-13339723.html,tel:+971507167681,Listed 1 month ago
WELL MAINTAINED 1BR W/ BALCONY FOR FAMILY 49K,"49,000 AED/year","Queue Point, Dubai Land, Dubai",1,1,622 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-land-queue-point-12587256.html,tel:+971509509936,Listed 4 months ago
PRIME LOCATION | FULLY LANDSCAPED | PET FRIENDLY,"155,000 AED/year","Amaranta, Villanova, Dubai Land, Dubai",3,4,"1,774 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-villanova-amaranta-13433055.html,tel:+971585544073,Listed 20 days ago
Elegant Villa |Ample Space | Pristine Cleanliness,"150,000 AED/year","Mohamed Bin Zayed City Villas, Mohamed Bin Zayed City, Abu Dhabi",6,7+,"5,462 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-mohamed-bin-zayed-city-mohamed-bin-zayed-city-villas-13334011.html,tel:+97126100252,Listed 1 month ago
LAVISH STUDIO | OPEN VIEW | FULLY FURNUSHED,"50,000 AED/year","Ghalia, District 18, Jumeirah Village Circle, Dubai",studio,1,402 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-district-18-ghalia-13550307.html,tel:+971507084791,Listed 6 days ago
First residence (,"43,000 AED/year","Al Mushrif, Abu Dhabi",studio,1,600 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-mushrif-13192174.html,tel:+97142815094,Listed 1 month ago
Spacious Bright One Bedroom Closed Kitchen .,"59,999 AED/year","Dubai Silicon Oasis, Dubai",1,2,822 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-silicon-oasis-13491951.html,tel:+971556335923,Listed 13 days ago
Spacious 2BR | 2 Bath | Chiller Free | 3-5 Mins to Energy Metro,"85,000 AED/year","The Nook, Wasl Gate, Dubai",2,2,810 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-wasl-gate-the-nook-13600585.html,tel:+971585242618,Listed 18 hours ago
Corner 4 Bedroom Townhouse | Spacious Brand New |,"270,000 AED/year","Murooj Al Furjan, Al Furjan, Dubai",4,4,"3,720 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-al-furjan-murooj-al-furjan-13595728.html,tel:+971582057610,Listed 1 day ago
3BHK+maid | Big Layout | Spacious | Prime Location,"185,000 AED/year","La Rosa 6, Villanova, Dubai Land, Dubai",3,4,"1,733 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-villanova-la-rosa-6-13482463.html,tel:+971521501558,Listed 14 days ago
"Single Row, Desert Style, Perfect Finishing","160,000 AED/year","Al Reef Villas, Al Reef, Abu Dhabi",5,6,"2,942 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-reef-al-reef-villas-13487032.html,tel:+971501138154,Listed 14 days ago
BRAND NEW 1 BR- LUXURY APARTMENT WITH HUGE LAYOUT,"150,000 AED/year","Central Park Building 1, Central Park at City Walk, City Walk, Dubai",1,1,"1,029 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-city-walk-central-park-at-city-walk-central-park-building-1-13114554.html,tel:+971554751314,Listed 2 months ago
Brand New | 1 BR | Modern Style kitchen,"80,000 AED/year","Binghatti Amber, Jumeirah Village Circle, Dubai",1,2,688 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-amber-13450563.html,tel:+971565059810,Listed 17 days ago
ULTIMATE MODERN DESIGN | MAIDS ROOM | GARDEN,"250,000 AED/year","Al Warqa'a 3, Al Warqa'a, Dubai",5,6,"12,001 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-al-warqa-a-al-warqa-a-3-13406474.html,tel:+971565110696,Listed 23 days ago
"5 BEDS+M is NOW FOR RENT AT OLIVA, VICTORY HEIGHTS","375,000 AED/year","Oliva, Victory Heights, Dubai Sports City, Dubai",5,6,"9,308 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-sports-city-victory-heights-oliva-12569484.html,tel:+971555579494,Listed 4 months ago
2 Bedroom + Maid Room - For Rent in Dubai Scient Park,"125,000 AED/year","Orchid Residence, Dubai Science Park, Dubai",2,3,"1,457 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-science-park-orchid-residence-13354936.html,tel:+971585810487,Listed 1 month ago
ONE BEDROOM + 1 BATHROOM APARTMENT FOR RENT,"90,000 AED/year","Al Reem Island, Abu Dhabi",1,1,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-reem-island-13543556.html,tel:+971581662187,Listed 7 days ago
Near Metro - Chiller Free - Corner Unit,"100,000 AED/year","The Nook 2, The Nook, Wasl Gate, Dubai",3,2,"1,017 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-wasl-gate-the-nook-the-nook-2-13397223.html,tel:+971585242618,Listed 24 days ago
LARGE 3BR WITH MAID FOR RENT IN MIRDIF,"110,000 AED/year","Uptown Mirdif, Mirdif, Dubai",3,4,"3,000 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-mirdif-uptown-mirdif-13335467.html,tel:+97142815107,Listed 1 month ago
Fully Furnished | Fully Upgraded | Exquisite 6BR Mansion,"1,400,000 AED/year","Al Barari, Dubai",6,7+,"10,867 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-al-barari-12670584.html,tel:+971509560111,Listed 4 months ago
Vacant | 4BR Villa | Spacious | Unfurnished,"209,999 AED/year","Mirdif, Dubai",4,5,"15,000 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-mirdif-13187905.html,tel:+971545824197,Listed 1 month ago
Serene Sea View | Modern Living | 4BR + Maids,"225,000 AED/year","Bloom Marina, Al Bateen, Abu Dhabi",4,6,"3,962 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-bateen-bloom-marina-13511286.html,tel:+971504838793,Listed 10 days ago
UPGRADED | BRAND NEW | PRIME LOCATION,"220,000 AED/year","Burj Views C, Burj Views, Downtown Dubai, Dubai",2,3,"1,298 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-views-burj-views-c-13565314.html,tel:+971565057200,Listed 4 days ago
High Floor | Golf and Lakes View | Fully Furnished,"365,000 AED/year","Tanaro, The Views, Dubai",3,3,"2,007 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-the-views-tanaro-13564289.html,tel:+971568859840,Listed 4 days ago
4 Bed | Full Fountian and Burj Khalifa View,"2,650,000 AED/year","IL Primo, Opera District, Downtown Dubai, Dubai",4,5,"5,300 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-opera-district-il-primo-13571262.html,tel:+971549934691,Listed 3 days ago
Available Now | Low Floor | Corner Unit,"135,000 AED/year","Golfville, Dubai Hills Estate, Dubai",2,1,744 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-hills-estate-golfville-13584674.html,tel:+971565228237,Listed 2 days ago
New upgrade | Largest 2Bed plus Study Vacant Now,"280,000 AED/year","Golf Tower 2, Golf Towers, The Views, Dubai",2,3,"1,620 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-the-views-golf-towers-golf-tower-2-13548901.html,tel:+971549934691,Listed 6 days ago
STUNNING APARTMENT| MODERN LIVING|FULLY FURNISHED,"65,000 AED/year","Prime Residency 3, Al Furjan, Dubai",studio,1,418 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-furjan-prime-residency-3-13593099.html,tel:+971545863054,Listed 1 day ago
Prime Location | Ready to View |,"220,000 AED/year","Elan, Tilal Al Ghaf, Dubai",3,4,"1,511 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-tilal-al-ghaf-elan-13599401.html,tel:+971565204018,Listed 22 hours ago
Vacant Now | 03 Series | All Bills Inclusive,"650,000 AED/year","The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai",3,4,"2,217 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-residence-fountain-views-the-address-residence-fountain-views-1-13560081.html,tel:+971565095046,Listed 4 days ago
Upgraded | Fully Furnished | 16th March,"130,000 AED/year","Bay Central West, Bay Central, Dubai Marina, Dubai",1,2,646 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-bay-central-bay-central-west-13583323.html,tel:+971565110697,Listed 2 days ago
Bills Inclusive | Ready to Move In | Furnished,"430,000 AED/year","The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai",2,3,"1,699 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-sky-view-towers-the-address-sky-view-tower-2-13516237.html,tel:+971506419110,Listed 10 days ago
Flexible Payment | Smart Home | Fully Furnished,"75,000 AED/year","Binghatti Crest, Jumeirah Village Circle, Dubai",1,1,618 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-crest-13527306.html,tel:+971505884713,Listed 9 days ago
High Floor | FullyFurnished | Marina View | Vacant,"134,999 AED/year","Sparkle Tower 1, Sparkle Towers, Dubai Marina, Dubai",1,2,862 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-sparkle-towers-sparkle-tower-1-13578915.html,tel:+971565152351,Listed 3 days ago
Corner Unit | Furnished | Vacant Soon,"350,000 AED/year","The Turf, DAMAC Hills, Dubai",6,6,"3,160 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-damac-hills-the-turf-13095973.html,tel:+971565039659,Listed 2 months ago
Ready to Move-in | Large Terrace | First Level,"68,000 AED/year","Al Ramth 05, Remraam, Dubai Land, Dubai",1,2,814 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-land-al-ramth-05-13601806.html,tel:+971505500937,Listed 6 hours ago
Furnished | Picturesque View | Incredible Value,"52,000 AED/year","AZIZI Roy Mediterranean, Al Furjan, Dubai",studio,1,395 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-furjan-azizi-roy-mediterranean-13525205.html,tel:+971523992781,Listed 9 days ago
Open Kitchen | Kitchen appliances | Harmony 3,"499,000 AED/year","Harmony 3, Harmony, Tilal Al Ghaf, Dubai",4,6,"4,719 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-tilal-al-ghaf-harmony-harmony-3-13252340.html,tel:+971565073045,Listed 1 month ago
Water View | Spacious Layout | Vacant in April,"150,000 AED/year","Creek Rise Tower 1, Creek Rise, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,103 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-creek-rise-creek-rise-tower-1-13587346.html,tel:+971565052556,Listed 2 days ago
Full Marina View | High Floor | Unfurnished,"185,000 AED/year","La Vie, Jumeirah Beach Residence, Dubai",1,2,845 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-la-vie-13565051.html,tel:+971506420583,Listed 4 days ago
Brand New | High Floor |Pool View | SemiFurnished,"54,999 AED/year","Binghatti Amber, Jumeirah Village Circle, Dubai",studio,1,452 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-amber-13461165.html,tel:+971565155694,Listed 16 days ago
Next To Tram | Fully Furnished | Prime Location,"105,000 AED/year","Ocean Heights, Dubai Marina, Dubai",1,2,"1,116 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-ocean-heights-13591589.html,tel:+971565202280,Listed 1 day ago
FULLY FURNISHED | 2BED | SERVICE APT | MID  FLOOR,"295,000 AED/year","The Address Residences Dubai Opera Tower 1, The Address Residences Dubai Opera, Downtown Dubai, Dubai",2,3,"1,256 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-residences-dubai-opera-the-address-residences-dubai-opera-tower-1-13586407.html,tel:+971566850937,Listed 2 days ago
SMART HOME | BRAND NEW | POOLVIEW | SEMI FURNISHED,"54,000 AED/year","Binghatti Lavender, Jumeirah Village Circle, Dubai",studio,1,370 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-lavender-13483012.html,tel:+971505884713,Listed 14 days ago
AVAILABLE MARCH | SINGLE ROW | PARK FACING,"115,000 AED/year","Parkside 1, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,557 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-south-dubai-world-central-emaar-south-parkside-1-13571559.html,tel:+971565093670,Listed 3 days ago
Park Backing | Brand New | Type A,"525,000 AED/year","Murooj Al Furjan, Al Furjan, Dubai",5,6,"4,034 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-al-furjan-murooj-al-furjan-13576582.html,tel:+971565153799,Listed 3 days ago
High Floor| Brand New | Corner Unit,"87,000 AED/year","AZIZI Riviera, Meydan One, Meydan, Dubai",1,2,869 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-meydan-meydan-one-azizi-riviera-13459569.html,tel:+971585050122,Listed 17 days ago
Single Row | Brand New | View Today,"120,000 AED/year","Greenviews 2, EMAAR South, Dubai South (Dubai World Central), Dubai",3,3,"1,890 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-south-dubai-world-central-emaar-south-greenviews-2-13249934.html,tel:+971565029688,Listed 1 month ago
Spacious 1BR | Marina View | Vacant Soon,"125,000 AED/year","Silverene Tower A, Silverene, Dubai Marina, Dubai",1,2,832 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-silverene-silverene-tower-a-13545034.html,tel:+971565060271,Listed 7 days ago
Exclusive | Fully Marina View | Vacant Now,"220,000 AED/year","Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",2,2,"1,150 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-harbour-emaar-beachfront-sunrise-bay-13583965.html,tel:+97144090911,Listed 2 days ago
Community View | Resort inspired living | Call Now,"75,000 AED/year","Vincitore Benessere, Arjan, Dubai",1,1,653 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-vincitore-benessere-13525849.html,tel:+971523992781,Listed 9 days ago
Best Series | Best View | All Inclusive Bills,"220,000 AED/year","The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",1,2,852 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-residence-fountain-views-the-address-residence-fountain-views-2-13466252.html,tel:+971565095046,Listed 16 days ago
Private Beach | Dubai Eye N Sea View | Furnished,"600,000 AED/year","La Vie, Jumeirah Beach Residence, Dubai",3,5,"2,062 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-la-vie-13350607.html,tel:+971565205746,Listed 1 month ago
Huge Plot | Single Row | Corner Unit,"144,999 AED/year","Greenviews 2, EMAAR South, Dubai South (Dubai World Central), Dubai",4,4,"2,256 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-south-dubai-world-central-emaar-south-greenviews-2-13527344.html,tel:+971523992781,Listed 9 days ago
Fully Furnished | High Floor | Book Now for March,"210,000 AED/year","Trident Bayside, Dubai Marina, Dubai",2,4,"1,626 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-trident-bayside-13566979.html,tel:+971565202280,Listed 4 days ago
SPACIOUS | UNFURNISHED | 3 SIDED VIEW | NEAR METRO,"215,000 AED/year","MAG 214, JLT Cluster R, Jumeirah Lake Towers, Dubai",3,3,"3,207 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-lake-towers-jlt-cluster-r-mag-214-13462109.html,tel:+971544556731,Listed 16 days ago
Mid floor | Vacant end of April | Unfurnished,"155,000 AED/year","Golden Mile 2, Golden Mile, Palm Jumeirah, Dubai",1,2,"1,288 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-palm-jumeirah-golden-mile-golden-mile-2-13603399.html,tel:+971523992781,Listed 4 hours ago
Spacious | Community View | Ready to Move In,"125,000 AED/year","Zanzebeel 4, Zanzebeel, Old Town, Dubai",1,2,891 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-old-town-zanzebeel-zanzebeel-4-13471720.html,tel:+971526832869,Listed 15 days ago
Sea View | 2BR | Stunning Views | Luxury Furniture,"220,000 AED/year","5242 Tower 2, 5242, Dubai Marina, Dubai",2,2,"1,131 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-5242-5242-tower-2-13593022.html,tel:+971564091885,Listed 1 day ago
