classificacao_risco;perdas_normalizadas;fabricante;tipo_combustivel;aspiracao;num_portas;tipo_carroceria;tracao;localizacao_motor;distancia_eixos;comprimento;largura;altura;peso;tipo_motor;num_cilindros;tamanho_motor;sistema_combustivel;diametro_cilindro;curso_pistao;taxa_compressao;potencia;rpm_maximo;consumo_cidade;consumo_estrada;preco
1;87;toyota;gasolina;padrao;duas;hatchback;dianteira;frontal;95.7;158.7;63.6;54.5;1985;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;35;39;5348
1;87;toyota;gasolina;padrao;duas;hatchback;dianteira;frontal;95.7;158.7;63.6;54.5;2040;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;31;38;6338
1;74;toyota;gasolina;padrao;quatro;hatchback;dianteira;frontal;95.7;158.7;63.6;54.5;2015;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;31;38;6488
0;77;toyota;gasolina;padrao;quatro;perua;dianteira;frontal;95.7;169.7;63.6;59.1;2280;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;31;37;6918
0;81;toyota;gasolina;padrao;quatro;perua;quatro_rodas;frontal;95.7;169.7;63.6;59.1;2290;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;27;32;7898
0;91;toyota;gasolina;padrao;quatro;perua;quatro_rodas;frontal;95.7;169.7;63.6;59.1;3110;ohc;quatro;92;2bbl;3.05;3.03;9.0;62;4800;27;32;8778
0;91;toyota;gasolina;padrao;quatro;sedan;dianteira;frontal;95.7;166.3;64.4;53.0;2081;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;30;37;6938
0;91;toyota;gasolina;padrao;quatro;hatchback;dianteira;frontal;95.7;166.3;64.4;52.8;2109;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;30;37;7198
0;91;toyota;diesel;padrao;quatro;sedan;dianteira;frontal;95.7;166.3;64.4;53.0;2275;ohc;quatro;110;idi;3.27;3.35;22.5;56;4500;34;36;7898
0;91;toyota;diesel;padrao;quatro;hatchback;dianteira;frontal;95.7;166.3;64.4;52.8;2275;ohc;quatro;110;idi;3.27;3.35;22.5;56;4500;38;47;7788
0;91;toyota;gasolina;padrao;quatro;sedan;dianteira;frontal;95.7;166.3;64.4;53.0;2094;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;38;47;7738
0;91;toyota;gasolina;padrao;quatro;hatchback;dianteira;frontal;95.7;166.3;64.4;52.8;2122;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;28;34;8358
0;91;toyota;gasolina;padrao;quatro;sedan;dianteira;frontal;95.7;166.3;64.4;52.8;2140;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;28;34;9258
1;168;toyota;gasolina;padrao;duas;sedan;traseira;frontal;94.5;168.7;64.0;52.6;2169;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;29;34;8058
1;168;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;94.5;168.7;64.0;52.6;2204;ohc;quatro;98;2bbl;3.19;3.03;9.0;70;4800;29;34;8238
1;168;toyota;gasolina;padrao;duas;sedan;traseira;frontal;94.5;168.7;64.0;52.6;2265;dohc;quatro;98;mpfi;3.24;3.08;9.4;112;6600;26;29;9298
1;168;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;94.5;168.7;64.0;52.6;2300;dohc;quatro;98;mpfi;3.24;3.08;9.4;112;6600;26;29;9538
2;134;toyota;gasolina;padrao;duas;teto_rigido;traseira;frontal;98.4;176.2;65.6;52.0;2540;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;8449
2;134;toyota;gasolina;padrao;duas;teto_rigido;traseira;frontal;98.4;176.2;65.6;52.0;2536;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;9639
2;134;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;98.4;176.2;65.6;52.0;2551;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;9989
2;134;toyota;gasolina;padrao;duas;teto_rigido;traseira;frontal;98.4;176.2;65.6;52.0;2679;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;11199
2;134;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;98.4;176.2;65.6;52.0;2714;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;11549
2;134;toyota;gasolina;padrao;duas;conversivel;traseira;frontal;98.4;176.2;65.6;53.0;2975;ohc;quatro;146;mpfi;3.62;3.50;9.3;116;4800;24;30;17669
-1;65;toyota;gasolina;padrao;quatro;sedan;dianteira;frontal;102.4;175.6;66.5;54.9;2326;ohc;quatro;122;mpfi;3.31;3.54;8.7;92;4200;29;34;8948
-1;65;toyota;diesel;turbo;quatro;sedan;dianteira;frontal;102.4;175.6;66.5;54.9;2480;ohc;quatro;110;idi;3.27;3.35;22.5;73;4500;30;33;10698
-1;65;toyota;gasolina;padrao;quatro;hatchback;dianteira;frontal;102.4;175.6;66.5;53.9;2414;ohc;quatro;122;mpfi;3.31;3.54;8.7;92;4200;27;32;9988
-1;65;toyota;gasolina;padrao;quatro;sedan;dianteira;frontal;102.4;175.6;66.5;54.9;2414;ohc;quatro;122;mpfi;3.31;3.54;8.7;92;4200;27;32;10898
-1;65;toyota;gasolina;padrao;quatro;hatchback;dianteira;frontal;102.4;175.6;66.5;53.9;2458;ohc;quatro;122;mpfi;3.31;3.54;8.7;92;4200;27;32;11248
3;197;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;102.9;183.5;67.7;52.0;2976;dohc;seis;171;mpfi;3.27;3.35;9.3;161;5200;20;24;16558
3;197;toyota;gasolina;padrao;duas;hatchback;traseira;frontal;102.9;183.5;67.7;52.0;3016;dohc;seis;171;mpfi;3.27;3.35;9.3;161;5200;19;24;15998
-1;90;toyota;gasolina;padrao;quatro;sedan;traseira;frontal;104.5;187.8;66.5;54.1;3131;dohc;seis;171;mpfi;3.27;3.35;9.2;156;5200;20;24;15690
-1;?;toyota;gasolina;padrao;quatro;perua;traseira;frontal;104.5;187.8;66.5;54.1;3151;dohc;seis;161;mpfi;3.27;3.35;9.2;156;5200;19;24;15750
2;122;volkswagen;diesel;padrao;duas;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2261;ohc;quatro;97;idi;3.01;3.40;23.0;52;4800;37;46;7775
2;122;volkswagen;gasolina;padrao;duas;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2209;ohc;quatro;109;mpfi;3.19;3.40;9.0;85;5250;27;34;7975
2;94;volkswagen;diesel;padrao;quatro;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2264;ohc;quatro;97;idi;3.01;3.40;23.0;52;4800;37;46;7995
2;94;volkswagen;gasolina;padrao;quatro;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2212;ohc;quatro;109;mpfi;3.19;3.40;9.0;85;5250;27;34;8195
2;94;volkswagen;gasolina;padrao;quatro;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2275;ohc;quatro;109;mpfi;3.19;3.40;9.0;85;5250;27;34;8495
2;94;volkswagen;diesel;turbo;quatro;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2319;ohc;quatro;97;idi;3.01;3.40;23.0;68;4500;37;42;9495
2;94;volkswagen;gasolina;padrao;quatro;sedan;dianteira;frontal;97.3;171.7;65.5;55.7;2300;ohc;quatro;109;mpfi;3.19;3.40;10.0;100;5500;26;32;9995
3;?;volkswagen;gasolina;padrao;duas;conversivel;dianteira;frontal;94.5;159.3;64.2;55.6;2254;ohc;quatro;109;mpfi;3.19;3.40;8.5;90;5500;24;29;11595
3;256;volkswagen;gasolina;padrao;duas;hatchback;dianteira;frontal;94.5;165.7;64.0;51.4;2221;ohc;quatro;109;mpfi;3.19;3.40;8.5;90;5500;24;29;9980
0;?;volkswagen;gasolina;padrao;quatro;sedan;dianteira;frontal;100.4;180.2;66.9;55.1;2661;ohc;cinco;136;mpfi;3.19;3.40;8.5;110;5500;19;24;13295
0;?;volkswagen;diesel;turbo;quatro;sedan;dianteira;frontal;100.4;180.2;66.9;55.1;2579;ohc;quatro;97;idi;3.01;3.40;23.0;68;4500;33;38;13845
0;?;volkswagen;gasolina;padrao;quatro;perua;dianteira;frontal;100.4;183.1;66.9;55.1;2563;ohc;quatro;109;mpfi;3.19;3.40;9.0;88;5500;25;31;12290
-2;103;volvo;gasolina;padrao;quatro;sedan;traseira;frontal;104.3;188.8;67.2;56.2;2912;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;23;28;12940
-1;74;volvo;gasolina;padrao;quatro;perua;traseira;frontal;104.3;188.8;67.2;57.5;3034;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;23;28;13415
-2;103;volvo;gasolina;padrao;quatro;sedan;traseira;frontal;104.3;188.8;67.2;56.2;2935;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;24;28;15985
-1;74;volvo;gasolina;padrao;quatro;perua;traseira;frontal;104.3;188.8;67.2;57.5;3042;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;24;28;16515
-2;103;volvo;gasolina;turbo;quatro;sedan;traseira;frontal;104.3;188.8;67.2;56.2;3045;ohc;quatro;130;mpfi;3.62;3.15;7.5;162;5100;17;22;18420
-1;74;volvo;gasolina;turbo;quatro;perua;traseira;frontal;104.3;188.8;67.2;57.5;3157;ohc;quatro;130;mpfi;3.62;3.15;7.5;162;5100;17;22;18950
-1;95;volvo;gasolina;padrao;quatro;sedan;traseira;frontal;109.1;188.8;68.9;55.5;2952;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;23;28;16845
-1;95;volvo;gasolina;turbo;quatro;sedan;traseira;frontal;109.1;188.8;68.8;55.5;3049;ohc;quatro;141;mpfi;3.78;3.15;8.7;160;5300;19;25;19045
-1;95;volvo;gasolina;padrao;quatro;sedan;traseira;frontal;109.1;188.8;68.9;55.5;3012;ohcv;seis;173;mpfi;3.58;2.87;8.8;134;5500;18;23;21485
-1;95;volvo;diesel;turbo;quatro;sedan;traseira;frontal;109.1;188.8;68.9;55.5;3217;ohc;seis;145;idi;3.01;3.40;23.0;106;4800;26;27;22470
-1;95;volvo;gasolina;turbo;quatro;sedan;traseira;frontal;109.1;188.8;68.9;55.5;3062;ohc;quatro;141;mpfi;3.78;3.15;9.5;114;5400;19;25;22625
